market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galleta cracker Grun orgánica con liro y chía 140 g. </span>","$ 327,25",,,https://carrefourar.vtexassets.com/arquivos/ids/183200-170-170?v=1765384467&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Pan para hamburguesa Delician 2 u. sin TACC </span>","$ 422,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179825-170-170?v=1765378776&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Arroz integral Terrasana grano largo orgánico 500 g. </span>","$ 397,00",,,https://carrefourar.vtexassets.com/arquivos/ids/171047-170-170?v=1765384013&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas de arroz sin sal Crisppino 100 g. sin TACC </span>","$ 167,50",,,https://carrefourar.vtexassets.com/arquivos/ids/176773-170-170?v=1765385206&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tostadas clásicas Carrefour 130 g. sin TACC </span>","$ 729,56$ 793,00","$ 729,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/233320-170-170?v=1765374438&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Salsa de soja La Parmesana light 300 cc. </span>","$ 347,70",,,https://carrefourar.vtexassets.com/arquivos/ids/182262-170-170?v=1765373485&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Queso crema San Ignacio entero sin sal 290 g. </span>","$ 401,00",,,https://carrefourar.vtexassets.com/arquivos/ids/192506-170-170?v=1765382873&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Aceitunas verdes Terrasana gigante orgánico 250 g. </span>","$ 600,00",,,https://carrefourar.vtexassets.com/arquivos/ids/170128-170-170?v=1765372469&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Pan de campo Carrefour 190 g. sin TACC </span>","$ 482,67$ 519,00","$ 482,67c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/179786-170-170?v=1765378100&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Pan rallado Carrefour provenzal 350 g. sin TACC </span>","$ 348,68$ 379,00","$ 348,68c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/193125-170-170?v=1765374609&width=170&height=170&aspect=true
